Sexe,Année de naissance,Commune,Situation familiale,Habitat,Catégorie socioprofessionnelle,Nationalité,Nombre d'enfant(s),Date du contact,1er contact,Motif,Violences,Produits addictifs,Envoyé(e) par institution,age_contact
F,1977,Nouméa,Union libre,,Enseignant-e public,,2,2014-06,True,Mixte,"Psychologiques,Physiques,Intrafamiliales",,Professionnels de santé,37
M,1977,Nouméa,Union libre,Squat,Sans Emploi,,1,2013-08,False,,"Psychologiques,Physiques",alcool,Tribunal,36
M,1977,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2010-03,True,Autre,"Verbales,Physiques",,Tribunal,33
F,1977,Nouméa,Marié(e),Locataire,Employé-e,,3,2020-11,True,Mixte,"Physiques,Menaces de mort,Verbales,Psychologiques",alcool,Professionnels de santé,43
F,1977,Nouméa,Union libre,Locataire,,FRANCAISE,,2009-05,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Tribunal,32
F,1977,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,1,2012-10,True,Victime,Physiques,alcool,Tribunal,35
F,1977,Nouméa,Union libre,Hébergé,Sans Emploi,,4,2020-04,False,Mixte,"Verbales,Psychologiques,Sexuelles,Économiques",,Centre d'information des droits des femmes et égalité,43
M,1977,Nouméa,Union libre,,Agent de sécurité,FRANCAISE,0,2015-08,True,Auteur,Physiques,alcool,Tribunal,38
M,1977,Nouméa,Union libre,,Agent de sécurité,,0,2015-08,True,Auteur,Physiques,alcool,Tribunal,38
M,1977,Nouméa,Union libre,Locataire,Ouvrier-ère,FRANCAISE,,2011-09,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,34
M,1976,Bourail,Célibataire,Hébergé,Sans Emploi,,2,2023-05,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,46
F,1976,Nouméa,Marié(e),Hébergé,,FRANCAISE,2,2011-11,True,Mixte,"Verbales,Psychologiques,Physiques",,Professionnels de santé,34
F,1976,Paita,Marié(e),Locataire,Secrétaire,FRANCAISE,3,2016-05,True,Victime,"Verbales,Physiques,Dégradations de biens",alcool,Tribunal,39
F,1976,Nouméa,Marié(e),Squat,Employé-e,,9,2017-07,False,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Tribunal,40
F,1976,Nouméa,Célibataire,Propriétaire,Ouvrier-ère,,1,2013-10,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Travailleurs sociaux,36
M,1976,Mont dore,Marié(e),Propriétaire,Gérant de société,FRANCAISE,2,2017-03,True,Auteur,"Verbales,Psychologiques",,Entourage,40
F,1976,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,2,2022-05,True,Victime,"Psychologiques,Physiques",,Centre d'information des droits des femmes et égalité,45
F,,,Veuf/veuve,,,FRANCAISE,,,False,,,,,
M,1976,Nouméa,Union libre,Hébergé,,FRANCAISE,,2022-03,True,Auteur,,,Police,45
M,1976,Nouméa,,,,,,2023-08,True,Auteur,"Verbales,Psychologiques,Physiques",Prise de produits,Police,46
F,1976,Nouméa,Marié(e),Locataire,Enseignant-e public,FRANCAISE,2,2011-07,True,Mixte,Psychologiques,,Professionnels de santé,34
F,1976,Dumbéa,Marié(e),,Sans Emploi,FRANCAISE,1,2009-09,True,Mixte,"Verbales,Psychologiques,Économiques",,Entourage,33
M,1976,Nouméa,,Squat,,,5,2023-09,False,Auteur,Menaces de mort,,Service pénitentiaire d'insertion et de probation SPIP,47
F,1976,Dumbéa,Union libre,,Sans Emploi,FRANCAISE,5,2021-11,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",alcool,Professionnels de santé,45
F,1976,Dumbéa,Marié(e),Locataire,,FRANCAISE,2,2010-05,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,33
F,1976,Mont dore,Divorcé(e),Propriétaire,,FRANCAISE,2,2022-05,True,Victime,Psychologiques,,Entourage,45
M,1976,Nouméa,Union libre,Hébergé,Sans Emploi,FRANCAISE,,2010-11,True,Mixte,"Psychologiques,Physiques",,Travailleurs sociaux,34
F,1976,Paita,Marié(e),,Sans Emploi,,2,2012-12,True,Autre,,,Travailleurs sociaux,36
F,1976,Nouméa,Union libre,,Etudiant-e,FRANCAISE,4,2007-05,True,Mixte,"Verbales,Psychologiques,Économiques,Physiques",,Services Province Sud,30
F,1976,Paita,Union libre,Propriétaire,Sans Emploi,FRANCAISE,2,2022-04,True,Victime,"Verbales,Psychologiques,Physiques,Économiques",,Associations,45
M,1976,Nouméa,Union libre,Locataire,Profession intermédiaire,FRANCAISE,,2009-07,True,Autre,"Verbales,Psychologiques,Physiques",alcool,Tribunal,33
F,1976,Nouméa,Union libre,,,FRANCAISE,2,2010-05,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,33
F,1976,Nouméa,,,Etudiant-e,,2,2023-09,True,Victime,"Psychologiques,Économiques",,Spontanée,47
M,1976,Nouméa,Union libre,Locataire,Ouvrier-ère,,3,2015-06,True,Auteur,"Verbales,Psychologiques",,Professionnels de santé,39
F,1976,Dumbéa,Union libre,Propriétaire,Sans Emploi,FRANCAISE,2,2012-09,True,Victime,"Verbales,Psychologiques,Physiques,Économiques,Sexuelles",alcool,Tribunal,36
F,1976,Thio,Marié(e),,Sans Emploi,,2,2013-04,True,Mixte,Psychologiques,,Entourage,36
F,1976,,Célibataire,,,,1,2014-08,True,Mixte,Physiques,,Police,38
F,1976,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,,2009-09,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,33
M,1976,Nouméa,Union libre,Hébergé,Employé-e,FRANCAISE,,2012-04,True,Auteur,"Verbales,Psychologiques,Physiques,Sexuelles",,Tribunal,36
M,1976,,,,,FRANCAISE,2,2011-09,True,Autre,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,35
F,1976,Dumbéa,Union libre,Propriétaire,,,3,2021-04,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Spontanée,45
F,1976,Bourail,Marié(e),Propriétaire,Employé-e,FRANCAISE,2,2022-05,True,Victime,,,Services Province Sud,46
M,1976,,Union libre,,Employé-e,FRANCAISE,,2010-08,False,Autre,,,,34
F,1976,Paita,Union libre,Hébergé,Femme de service,,3,2020-07,True,Mixte,"Physiques,Verbales,Psychologiques,Sexuelles",,Spontanée,44
M,1976,Mont dore,Union libre,,Profession intermédiaire,,,2013-01,True,Mixte,"Verbales,Psychologiques,Physiques",,Centre d'information des droits des femmes et égalité,36
M,1976,Nouméa,Union libre,Squat,Agent de sécurité,FRANCAISE,2,2017-12,True,Auteur,"Verbales,Physiques",,Entourage,41
F,1976,Paita,Union libre,Propriétaire,Employé-e,,,2019-08,True,Mixte,"Psychologiques,Physiques",,,43
M,1976,Dumbéa,Célibataire,Hébergé,,,1,2016-04,True,Mixte,"Psychologiques,Physiques",,Services Province Sud,40
F,1976,Dumbéa,Union libre,Locataire,Employé-e,FRANCAISE,3,2017-03,True,Mixte,"Psychologiques,Physiques,Sexuelles",,Professionnels de santé,41
F,1976,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2011-09,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,35
M,1976,Nouméa,Marié(e),Locataire,,FRANCAISE,,2010-07,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles,Économiques",,Tribunal,34
M,1976,Nouméa,Célibataire,Locataire,Employé-e,,4,2020-12,True,Mixte,Physiques,,Centre d'information des droits des femmes et égalité,44
M,1976,Nouméa,Marié(e),Propriétaire,,FRANCAISE,2,2017-02,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,41
F,1976,Paita,Marié(e),Propriétaire,Secrétaire,,2,2018-02,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,42
F,1976,Maré,Marié(e),,Sans Emploi,,4,2014-02,True,Mixte,"Psychologiques,Psychologiques,Physiques,Sexuelles",,Tribunal,38
M,1976,Dumbéa,Marié(e),Locataire,Employé-e,,2,2014-06,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,38
M,1976,Paita,,Propriétaire,Employé-e,,2,2020-08,True,Auteur,Physiques,,Spontanée,44
F,1976,Dumbéa,Union libre,Locataire,Sans Emploi,,1,2023-10,True,Victime,"Verbales,Psychologiques",,Professionnels de santé,47
F,1976,Nouméa,Union libre,Locataire,,FRANCAISE,1,2010-08,True,Mixte,"Psychologiques,Verbales,Physiques",,Police,34
F,1975,Dumbéa,Pascé(e),,Profession intermédiaire,FRANCAISE,3,2012-04,True,Mixte,,,Professionnels de santé,36
F,1975,Thio,Union libre,,,FRANCAISE,2,2016-09,True,Mixte,"Psychologiques,Physiques,Sexuelles",,Spontanée,40
F,1975,Nouméa,Union libre,,Employé-e,FRANCAISE,2,2012-07,True,Auteur,Physiques,,Tribunal,36
M,1975,Dumbéa,Union libre,Locataire,Agent de sécurité,,3,2014-10,True,Mixte,"Verbales,Psychologiques,Physiques",,Professionnels de santé,38
M,1975,Nouméa,Union libre,Hébergé,Employé-e,,,2012-12,True,Auteur,Physiques,alcool,Tribunal,37
F,1975,Nouméa,Union libre,,Sans Emploi,,,2019-12,False,Mixte,"Verbales,Physiques,Psychologiques",,,44
F,1975,Nouméa,,Squat,Sans Emploi,FRANCAISE,,2009-12,True,Mixte,"Verbales,Psychologiques,Physiques",,Tribunal,34
M,1975,Nouméa,Marié(e),Locataire,Sans Emploi,FRANCAISE,4,2015-09,True,Auteur,"Verbales,Psychologiques",,Tribunal,39
M,1975,Paita,Union libre,,Espace vert,,4,2023-07,True,Auteur,,,Professionnels de santé,47
F,1975,Paita,Marié(e),Propriétaire,Employé-e,,2,2020-06,True,Mixte,Psychologiques,,Entourage,44
F,1975,Nouméa,Union libre,,Ouvrier-ère,FRANCAISE,3,2012-11,True,Victime,Physiques,alcool,Tribunal,37
M,1975,Nouméa,Union libre,Locataire,Chauffeur d'engins,,3,2023-11,True,Auteur,"Physiques,Verbales",,Entourage,48
M,1975,Paita,Union libre,,Employé-e,FRANCAISE,,2010-06,True,Auteur,"Verbales,Physiques",,Tribunal,34
M,1975,Yate,Union libre,,Employé-e,FRANCAISE,4,2012-01,True,Auteur,Physiques,,Tribunal,36
F,1975,Paita,Marié(e),Hébergé,Sans Emploi,,3,2018-05,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles,Économiques,Menaces de mort",,Travailleurs sociaux,42
M,1975,Boulouparis,Union libre,Hébergé,Ouvrier-ère,FRANCAISE,2,2010-11,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,35
F,1975,Dumbéa,Marié(e),Locataire,Sans Emploi,FRANCAISE,6,2016-11,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,41
F,1975,Dumbéa,Marié(e),,,,2,2016-02,True,Mixte,"Psychologiques,Physiques",,Entourage,40
F,1975,Bourail,Séparé(e),,Profession intermédiaire,FRANCAISE,,2009-06,True,Mixte,Physiques,,Tribunal,33
F,1975,Nouméa,Séparé(e),Locataire,Employé-e,,2,2017-12,True,Mixte,"Verbales,Psychologiques,Physiques",,Services Province Sud,42
M,1975,Paita,Marié(e),Locataire,Employé-e,,3,2016-05,True,Auteur,"Verbales,Physiques,Dégradations de biens",alcool,Tribunal,40
M,1975,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,3,2011-11,True,Auteur,"Verbales,Physiques",alcool,Tribunal,36
M,1975,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,3,2012-06,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,36
F,1975,Nouméa,Marié(e),Hébergé,,FRANCAISE,4,2017-06,True,Mixte,"Physiques,Psychologiques,Verbales",,Professionnels de santé,41
M,1975,Mont dore,Union libre,,Technicien-ne,,1,2015-02,True,Auteur,Psychologiques,,Entourage,39
F,1975,Dumbéa,Séparé(e),Locataire,Enseignant-e public,,3,2021-04,True,Mixte,"Verbales,Psychologiques,Économiques",,Professionnels de santé,45
F,1975,,Marié(e),,,FRANCAISE,,2017-07,False,Mixte,"Verbales,Psychologiques,Physiques",,Police,42
M,1975,Nouméa,Union libre,Locataire,Ouvrier-ère,FRANCAISE,2,2011-09,True,Autre,,,Tribunal,36
M,1975,Nouméa,Marié(e),Locataire,Agent de sécurité,,2,2013-02,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,37
F,1975,Dumbéa,Séparé(e),Propriétaire,Femme de menage,,1,2013-07,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,38
M,1975,Paita,Marié(e),Locataire,Sans Emploi,,3,2021-02,True,,Économiques,,Services Province Sud,45
F,1975,,Séparé(e),,,FRANCAISE,,2010-06,True,Mixte,Psychologiques,,Police,35
F,1975,Dumbéa,Séparé(e),Hébergé,Employé-e,FRANCAISE,1,2011-10,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Entourage,36
F,1975,Mont dore,Séparé(e),Hébergé,Auxiliaire de vie,,1,2023-02,False,Mixte,"Verbales,Psychologiques,Physiques",,Centre d'information des droits des femmes et égalité,47
F,1975,Nouméa,Célibataire,Locataire,Enseignant-e public,,1,2016-04,True,Mixte,"Verbales,Physiques",,Entourage,40
M,1975,Nouméa,Union libre,Hébergé,Sans Emploi,,1,2015-10,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,40
F,1975,Nouméa,Marié(e),Locataire,,FRANCAISE,,2009-10,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Police,34
M,1975,Bourail,Union libre,Hébergé,Ouvrier-ère,FRANCAISE,1,2011-03,True,Auteur,"Verbales,Physiques",alcool,Tribunal,35
M,1975,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2009-09,True,Autre,"Physiques,Verbales",,Tribunal,34
F,1975,Nouméa,Union libre,,Sans Emploi,FRANCAISE,1,2012-06,True,Victime,"Verbales,Psychologiques,Physiques,Économiques",alcool,Tribunal,37
F,1975,Nouméa,Union libre,Locataire,Employé-e,,1,2019-05,True,Auteur,Psychologiques,,Entourage,44
M,1975,Nouméa,Marié(e),Locataire,Ouvrier-ère,FRANCAISE,3,2018-09,True,Auteur,"Physiques,Verbales",,Service pénitentiaire d'insertion et de probation SPIP,43
M,1975,Dumbéa,Union libre,Hébergé,Employé-e,FRANCAISE,,2010-04,False,Autre,"Psychologiques,Physiques,Sexuelles",alcool,Tribunal,35
F,1975,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,4,2022-06,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles,Menaces de mort",,Entourage,47
F,1975,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2010-01,False,Auteur,"Physiques,Verbales",,Tribunal,34
F,1975,Nouméa,Marié(e),Propriétaire,Sans Emploi,,3,2022-01,False,Victime,"Verbales,Psychologiques,Menaces de mort",,Entourage,46
M,1975,Mont dore,Union libre,Propriétaire,Employé-e,FRANCAISE,1,2009-12,True,Auteur,"Verbales,Physiques",,Tribunal,34
F,1975,Dumbéa,Marié(e),Locataire,Sans Emploi,,3,2020-02,True,Mixte,"Psychologiques,Physiques",,Police,44
F,1975,Dumbéa,Union libre,,Sans Emploi,FRANCAISE,6,2012-06,False,Auteur,"Verbales,Psychologiques,Physiques,Économiques,Sur enfants",alcool,Tribunal,37
F,1975,Nouméa,Marié(e),,Ouvrier-ère,,6,2013-07,True,Mixte,Physiques,,Travailleurs sociaux,38
F,1975,Nouméa,Marié(e),Hébergé,Enseignant-e public,,,2023-10,True,Victime,"Verbales,Psychologiques",,Police,48
M,1975,Dumbéa,Union libre,Squat,,,1,2014-03,True,Auteur,"Verbales,Psychologiques,Physiques",alcool,Tribunal,39
F,1975,Nouméa,Marié(e),Locataire,Femme de service,FRANCAISE,3,2012-06,True,Mixte,Physiques,,Police,37
F,1975,Mont dore,Séparé(e),Propriétaire,Profession libérale,,2,2018-11,True,Mixte,"Verbales,Psychologiques",,Professionnels de santé,43
F,1975,Nouméa,Union libre,Hébergé,,,3,2020-07,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Spontanée,45
F,1975,Nouméa,Marié(e),Locataire,Sans Emploi,FRANCAISE,,2012-01,True,Mixte,"Verbales,Psychologiques,Physiques",alcool,Tribunal,36
F,1975,Nouméa,Séparé(e),,,FRANCAISE,1,2012-05,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,37
F,1975,Nouméa,Séparé(e),Hébergé,Auxiliaire de vie,,3,2013-06,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",alcool,Travailleurs sociaux,38
M,1974,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,1,2010-05,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,35
M,1974,,,,Ouvrier-ère,FRANCAISE,,2017-10,True,Auteur,Physiques,,Tribunal,42
M,1974,Houailou,Union libre,,Sans Emploi,FRANCAISE,,2010-02,True,Auteur,"Verbales,Physiques",alcool,Tribunal,35
F,1974,Dumbéa,Union libre,,,FRANCAISE,,2009-07,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques,Sexuelles",alcool,Tribunal,34
F,1974,Nouméa,,,,,2,2015-03,True,Auteur,Sur enfants,,Tribunal,40
F,1974,Nouméa,Marié(e),Locataire,Femme de menage,FRANCAISE,5,2016-10,True,Victime,"Verbales,Psychologiques,Physiques",,Entourage,41
F,1974,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,2,2012-05,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,37
F,1974,Nouméa,Célibataire,Locataire,Vendeur-se,,1,2023-03,True,Victime,,,Entourage,48
F,1974,Nouméa,Célibataire,Locataire,Restauratrice,,1,2021-08,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",,Police,46
F,1974,Dumbéa,Marié(e),,Chef de service,,,2023-10,True,Auteur,"Physiques,Psychologiques,Verbales",,Travailleurs sociaux,48
F,1974,Nouméa,Célibataire,Propriétaire,Profession libérale,FRANCAISE,1,2012-03,True,Mixte,,,Police,37
F,1974,Dumbéa,Union libre,Squat,Sans Emploi,FRANCAISE,,2012-02,True,Victime,"Psychologiques,Physiques",,Tribunal,37
M,1974,Mont dore,Union libre,Locataire,Sans Emploi,FRANCAISE,,2010-04,True,Auteur,"Verbales,Physiques",alcool,Service pénitentiaire d'insertion et de probation SPIP,35
F,1974,Nouméa,Union libre,Squat,Sans Emploi,FRANCAISE,7,2012-06,False,Auteur,"Verbales,Psychologiques,Physiques,Sur enfants",alcool,Spontanée,37
F,1974,Nouméa,Célibataire,Locataire,Employé-e,,,2020-03,True,Mixte,"Verbales,Psychologiques,Physiques",,,45
M,1974,Dumbéa,Union libre,,Employé-e,VANUATAISE,,2009-10,True,Auteur,"Verbales,Physiques",alcool,Tribunal,35
F,1974,Nouméa,Marié(e),Hébergé,Employé-e,FRANCAISE,4,2012-08,True,Victime,"Psychologiques,Physiques",,Tribunal,37
F,1974,Nouméa,Célibataire,Hébergé,Femme de menage,,2,2014-05,True,Auteur,"Verbales,Psychologiques,Sur enfants",,Police,39
F,1974,Nouméa,Marié(e),,,,,2019-09,True,Mixte,"Verbales,Psychologiques,Sexuelles",,,45
F,1974,Mont dore,Marié(e),,Employé-e,FRANCAISE,1,2012-01,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Professionnels de santé,37
M,1974,Nouméa,Célibataire,Locataire,Ouvrier-ère,,3,2023-05,True,Auteur,Physiques,,Service pénitentiaire d'insertion et de probation SPIP,48
F,1974,,Marié(e),,,,2,2014-02,False,Mixte,"Verbales,Psychologiques,Physiques,Administratives",,Spontanée,39
F,1974,Nouméa,Union libre,Propriétaire,Profession intermédiaire,FRANCAISE,1,2016-09,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,42
F,1974,Nouméa,Marié(e),Locataire,Employé-e,FRANCAISE,1,2008-01,True,Mixte,"Verbales,Psychologiques,Physiques,Sexuelles",,Professionnels de santé,33
M,1974,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,,2012-02,True,Auteur,"Verbales,Psychologiques",,Tribunal,37
M,1974,,,Hébergé,,FRANCAISE,,2018-01,True,Mixte,Physiques,drogue,Entourage,43
F,1974,Nouméa,Union libre,Hébergé,Femme de service,FRANCAISE,3,2011-05,True,Mixte,"Verbales,Psychologiques,Physiques,Économiques",,Police,36
M,1974,Nouméa,Union libre,,,,2,2012-12,True,Auteur,"Psychologiques,Physiques",alcool,Tribunal,38
M,1974,Nouméa,Marié(e),Hébergé,Sans Emploi,FRANCAISE,5,2022-05,True,Auteur,,,Service pénitentiaire d'insertion et de probation SPIP,47
F,1974,Dumbéa,Marié(e),Locataire,Employé-e,,2,2019-07,True,Mixte,"Verbales,Physiques",,Spontanée,45
F,1974,Ouvéa,Marié(e),,Sans Emploi,,3,2015-01,False,Victime,"Verbales,Psychologiques,Physiques",alcool,Spontanée,40
F,1974,Dumbéa,Union libre,Locataire,Sans Emploi,,,2019-07,True,Mixte,"Verbales,Psychologiques,Physiques",,Travailleurs sociaux,45
M,1974,Dumbéa,Union libre,,Profession intermédiaire,FRANCAISE,,2010-02,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,35
M,1974,Dumbéa,Marié(e),Propriétaire,Retraité-e,FRANCAISE,,2011-08,True,Mixte,"Verbales,Psychologiques,Physiques",,Entourage,37
F,1974,Pont des français,Union libre,Propriétaire,Profession intermédiaire,FRANCAISE,4,2011-11,True,Mixte,"Psychologiques,Physiques",,Entourage,37
F,1974,Mont dore,Marié(e),Propriétaire,Sans Emploi,,3,2015-03,False,Victime,"Verbales,Psychologiques,Physiques,Sexuelles",alcool,Tribunal,40
M,1974,Nouméa,Union libre,Hébergé,Employé-e,FRANCAISE,,2010-11,True,Auteur,Physiques,,Tribunal,36
M,1974,Nouméa,Séparé(e),Locataire,Profession libérale,,2,2022-12,True,Victime,Physiques,,Police,48
M,1974,Nouméa,Marié(e),Locataire,Ouvrier-ère,FRANCAISE,3,2017-08,True,Auteur,"Verbales,Physiques",,Service pénitentiaire d'insertion et de probation SPIP,43
F,1974,Mont dore,Union libre,Propriétaire,Sans Emploi,FRANCAISE,2,2011-05,True,Victime,Physiques,alcool,Tribunal,37
F,1974,Dumbéa,Union libre,Propriétaire,Profession intermédiaire,FRANCAISE,1,2012-03,True,Mixte,Psychologiques,,Entourage,37
M,1974,Nouméa,Union libre,,Ouvrier-ère,FRANCAISE,3,2012-07,True,Auteur,"Physiques,Économiques",alcool,Tribunal,38
F,1974,Tontouta,Union libre,,Sans Emploi,FRANCAISE,5,2012-01,True,Victime,"Verbales,Psychologiques,Physiques",,Tribunal,37
F,1974,Nouméa,Marié(e),Hébergé,Sans Emploi,,3,2021-11,False,Victime,"Verbales,Psychologiques,Physiques,Économiques,Harcelement",,Travailleurs sociaux,47
F,1974,Mont dore,Séparé(e),,Ouvrier-ère,FRANCAISE,1,2010-06,True,Mixte,"Verbales,Physiques",alcool,Tribunal,36
F,1974,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,3,2022-02,True,Victime,"Verbales,Psychologiques,Physiques,Sexuelles",alcool,Centre d'information des droits des femmes et égalité,47
M,1974,Dumbéa,Marié(e),,Employé-e,,5,2012-12,True,Mixte,Physiques,,Associations,38
M,1974,Paita,Union libre,Locataire,BTP,,4,2023-03,True,,,,Service pénitentiaire d'insertion et de probation SPIP,49
F,1974,Nouméa,Marié(e),Locataire,,FRANCAISE,0,2012-04,True,Victime,"Psychologiques,Physiques",,Tribunal,38
M,1974,Boulouparis,Marié(e),Propriétaire,,,2,2013-08,True,Auteur,"Sur enfants,Psychologiques",,Entourage,39
F,1974,Nouméa,Marié(e),Propriétaire,Employé-e,,2,2021-05,True,Mixte,"Verbales,Psychologiques",,Police,47
M,1974,Canala,,,Profession intermédiaire,FRANCAISE,,2010-01,True,Mixte,"Physiques,Verbales",,Tribunal,35
M,1974,Nouméa,Union libre,Hébergé,,,,2013-01,True,Auteur,Physiques,alcool,Tribunal,38
M,1974,Nouméa,Union libre,Hébergé,Sans Emploi,ARGENTIN,1,2017-11,True,Auteur,Physiques,,Spontanée,43
F,1974,Mont dore,Séparé(e),Hébergé,Sans Emploi,,2,2017-04,False,Mixte,"Verbales,Psychologiques,Physiques",,Institutions,43
F,1974,Paita,Union libre,Hébergé,Sans Emploi,,,2009-11,False,Autre,"Verbales,Psychologiques,Physiques",alcool,Entourage,35
F,1973,Dumbéa,Union libre,,Ouvrier-ère,FRANCAISE,3,2011-06,True,Victime,Physiques,,Tribunal,37
M,1973,Poum,Marié(e),,Sans Emploi,FRANCAISE,,2012-10,True,Auteur,Physiques,alcool,Tribunal,38
F,1973,Paita,Marié(e),Propriétaire,Enseignant-e public,,2,2019-02,True,Mixte,"Verbales,Psychologiques,Physiques,Menaces de mort",alcool,Professionnels de santé,45
F,1973,Dumbéa,Union libre,Squat,Femme de menage,,1,2013-07,True,Auteur,Physiques,alcool,Tribunal,39
F,1973,Nouméa,Marié(e),,Sans Emploi,,4,2015-06,True,Mixte,"Verbales,Psychologiques,Physiques",,Police,41
F,1973,Paita,Marié(e),Propriétaire,Femme de service,FRANCAISE,5,2011-11,False,Mixte,"Verbales,Psychologiques,Physiques",,Gendarmerie,38
F,1973,Mont dore,Union libre,,Profession intermédiaire,,,2012-11,True,Mixte,Psychologiques,,,39
M,1973,Nouméa,Marié(e),Locataire,,FRANCAISE,2,2010-07,True,Auteur,"Verbales,Psychologiques,Physiques",,Tribunal,36
F,1973,Dumbéa,Marié(e),Locataire,,FRANCAISE,2,2022-05,True,Victime,,,Travailleurs sociaux,48
M,1973,Nouméa,Marié(e),Hébergé,,FRANCAISE,3,2010-12,True,Autre,"Verbales,Psychologiques,Psychologiques",alcool,Travailleurs sociaux,37
F,1973,Nouméa,Union libre,Propriétaire,Sans Emploi,FRANCAISE,4,2010-08,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,37
F,1973,Dumbéa,Union libre,Locataire,Sans Emploi,VANUATAISE,4,2020-03,True,Mixte,"Physiques,Psychologiques,Sexuelles,Menaces de mort",alcool,Professionnels de santé,46
M,1973,Canala,Marié(e),,Sans Emploi,FRANCAISE,,2010-02,True,Auteur,"Verbales,Physiques,Psychologiques",alcool,Tribunal,36
F,1973,Nouméa,Marié(e),Hébergé,Employé-e,,3,2017-04,True,Mixte,"Verbales,Psychologiques,Physiques",,Services Province Sud,43
F,1973,Nouméa,Marié(e),,,,5,2014-10,True,Victime,"Verbales,Psychologiques,Physiques",alcool,Tribunal,41
M,1973,Paita,,,,,2,2013-07,True,Auteur,Physiques,,Tribunal,40
M,1973,Nouméa,Union libre,Locataire,Employé-e,FRANCAISE,1,2012-01,True,Autre,Verbales,,Travailleurs sociaux,38
F,1973,Nouméa,Union libre,Hébergé,Sans Emploi,FRANCAISE,1,2015-08,False,Mixte,"Verbales,Psychologiques",,Travailleurs sociaux,42
F,1973,Nouméa,Union libre,,,,2,2014-12,True,Mixte,"Verbales,Physiques",,Entourage,41
F,1973,Dumbéa,Marié(e),Locataire,Sans Emploi,FRANCAISE,,2009-10,True,Mixte,"Psychologiques,Physiques",alcool,Tribunal,36
M,1973,Nouméa,Célibataire,Locataire,Ouvrier-ère,,8,2013-07,True,Auteur,Sur enfants,,Tribunal,40
F,1973,Dumbéa,Marié(e),Locataire,,,2,2015-03,True,Auteur,Sur enfants,,Tribunal,41
M,1973,Nouméa,,,,,1,2023-01,True,Auteur,,Prise de produits,Service pénitentiaire d'insertion et de probation SPIP,49
M,1973,Nouméa,Marié(e),Hébergé,Employé-e,FRANCAISE,1,2011-06,True,Autre,"Psychologiques,Physiques",alcool,Entourage,38
